Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  01-Jan-2015 00:00:00	51.05839	-4.27671	0	1.890	9999.000	10.0	6.3	276	 10	9.8
  01-Jan-2015 00:30:00	51.05839	-4.27671	0	1.820	2.320	12.5	6.2	284	 17	9.8
  01-Jan-2015 01:00:00	51.05842	-4.27677	0	1.840	2.860	11.1	6.5	280	  9	9.8
  01-Jan-2015 01:30:00	51.05843	-4.27675	0	1.770	2.270	11.8	6.6	277	 12	9.8
  01-Jan-2015 02:00:00	51.05840	-4.27675	0	1.660	2.510	10.5	6.2	283	 15	9.8
  01-Jan-2015 02:30:00	51.05837	-4.27673	0	1.590	2.380	11.8	6.3	274	 13	9.8
  01-Jan-2015 03:00:00	51.05840	-4.27677	0	1.580	2.560	11.8	6.3	281	 11	9.8
  01-Jan-2015 03:30:00	51.05843	-4.27692	0	1.480	2.030	10.5	6.0	277	 13	9.8
  01-Jan-2015 04:00:00	51.05848	-4.27731	0	1.560	2.710	11.8	6.2	277	 12	9.8
  01-Jan-2015 04:30:00	51.05801	-4.27772	0	1.460	2.200	10.0	5.8	280	  8	9.8
  01-Jan-2015 05:00:00	51.05789	-4.27761	0	1.590	2.630	11.8	6.2	280	 12	9.7
  01-Jan-2015 05:30:00	51.05793	-4.27767	0	1.430	2.620	11.8	5.9	278	  9	9.7
  01-Jan-2015 06:00:00	51.05787	-4.27759	0	1.580	2.150	10.5	6.8	276	 10	9.8
  01-Jan-2015 06:30:00	51.05788	-4.27765	0	1.360	2.340	10.0	6.3	280	  8	9.8
  01-Jan-2015 07:00:00	51.05780	-4.27754	0	1.540	2.310	10.0	6.7	276	  7	10.2
  01-Jan-2015 07:30:00	51.05811	-4.27688	0	1.440	2.060	11.1	6.1	277	  6	10.1
  01-Jan-2015 08:00:00	51.05769	-4.27669	0	1.570	2.090	10.5	5.7	274	  7	10.2
  01-Jan-2015 08:30:00	51.05781	-4.27654	0	1.460	2.270	10.5	5.3	274	 10	10.2
  01-Jan-2015 09:00:00	51.05811	-4.27647	0	1.490	3.010	11.1	5.4	274	  8	10.2
  01-Jan-2015 09:30:00	51.05825	-4.27649	0	1.580	2.250	10.0	6.0	274	  8	10.2
  01-Jan-2015 10:00:00	51.05826	-4.27645	0	1.560	2.260	10.0	5.6	274	 12	10.2
  01-Jan-2015 10:30:00	51.05829	-4.27654	0	1.760	2.640	10.5	5.5	277	 13	10.2
  01-Jan-2015 11:00:00	51.05835	-4.27658	0	1.560	1.870	10.0	4.7	276	 11	10.2
  01-Jan-2015 11:30:00	51.05836	-4.27666	0	1.670	2.180	10.0	4.8	277	 12	10.2
  01-Jan-2015 12:00:00	51.05834	-4.27658	0	1.580	2.370	11.1	4.7	278	 16	10.2
  01-Jan-2015 12:30:00	51.05837	-4.27664	0	1.640	2.740	10.0	4.7	281	 17	10.1
  01-Jan-2015 13:00:00	51.05836	-4.27666	0	1.700	2.390	10.5	4.8	276	 15	10.1
  01-Jan-2015 13:30:00	51.05838	-4.27664	0	1.690	2.620	10.5	4.8	271	 14	9.9
  01-Jan-2015 14:00:00	51.05842	-4.27675	0	1.710	2.470	10.0	4.6	274	 15	9.8
  01-Jan-2015 14:30:00	51.05836	-4.27666	0	1.770	2.910	9.1	4.8	278	 14	9.9
  01-Jan-2015 15:00:00	51.05843	-4.27679	0	1.920	2.750	10.5	5.0	277	 15	9.9
  01-Jan-2015 15:30:00	51.05842	-4.27690	0	1.760	2.460	9.1	5.1	273	 13	9.9
  01-Jan-2015 16:00:00	51.05843	-4.27684	0	1.870	3.400	10.0	5.3	277	 12	9.9
  01-Jan-2015 16:30:00	51.05841	-4.27701	0	1.900	3.090	10.0	5.2	274	 13	9.9
  01-Jan-2015 17:00:00	51.05827	-4.27754	0	2.090	3.200	10.5	5.5	273	 12	9.9
  01-Jan-2015 17:30:00	51.05819	-4.27757	0	2.190	3.260	9.1	5.5	271	 10	9.9
  01-Jan-2015 18:00:00	51.05840	-4.27696	0	2.320	3.490	10.0	5.6	276	 11	9.9
  01-Jan-2015 18:30:00	51.05841	-4.27722	0	2.280	3.230	10.0	5.6	274	 10	9.9
  01-Jan-2015 19:00:00	51.05842	-4.27731	0	2.510	3.350	10.0	5.9	274	  9	9.9
  01-Jan-2015 19:30:00	51.05842	-4.27684	0	2.510	4.270	10.0	5.8	273	  7	9.9
  01-Jan-2015 20:00:00	51.05843	-4.27681	0	2.700	4.090	10.5	5.9	273	 12	9.9
  01-Jan-2015 20:30:00	51.05844	-4.27677	0	2.840	3.650	10.5	6.2	277	 10	9.9
  01-Jan-2015 21:00:00	51.05842	-4.27679	0	2.800	3.940	10.5	6.3	278	  8	9.9
  01-Jan-2015 21:30:00	51.05844	-4.27677	0	2.930	4.290	10.0	6.5	276	  9	9.9
  01-Jan-2015 22:00:00	51.05842	-4.27666	0	2.810	4.550	11.1	6.2	276	 12	10.0
  01-Jan-2015 22:30:00	51.05841	-4.27669	0	3.340	4.830	10.0	6.9	276	  9	10.0
  01-Jan-2015 23:00:00	51.05849	-4.27660	0	3.230	4.230	11.1	6.9	278	 12	10.0
  01-Jan-2015 23:30:00	51.05843	-4.27669	0	3.190	4.510	11.1	7.0	278	 11	10.0
  02-Jan-2015 00:00:00	51.05841	-4.27660	0	3.040	4.490	11.1	6.8	280	 12	10.1
  02-Jan-2015 00:30:00	51.05836	-4.27658	0	3.280	4.770	11.1	6.9	276	 11	10.1
  02-Jan-2015 01:00:00	51.05834	-4.27660	0	2.880	4.090	10.5	6.7	277	 13	10.1
  02-Jan-2015 01:30:00	51.05829	-4.27658	0	2.870	4.160	11.1	6.7	280	 13	10.1
  02-Jan-2015 02:00:00	51.05836	-4.27660	0	2.770	4.380	11.1	6.6	277	 11	10.2
  02-Jan-2015 02:30:00	51.05828	-4.27656	0	2.700	4.430	11.1	6.6	277	 10	10.2
  02-Jan-2015 03:00:00	51.05834	-4.27658	0	2.520	4.310	11.1	6.2	283	 14	10.2
  02-Jan-2015 03:30:00	51.05823	-4.27654	0	2.760	4.490	11.1	6.8	283	  9	10.1
  02-Jan-2015 04:00:00	51.05811	-4.27651	0	2.640	4.010	11.8	6.3	287	  8	10.1
  02-Jan-2015 04:30:00	51.05814	-4.27656	0	2.650	3.400	10.5	6.2	286	  8	10.1
  02-Jan-2015 05:00:00	51.05775	-4.27681	0	2.700	3.850	10.5	6.5	287	 13	10.1
  02-Jan-2015 05:30:00	51.05767	-4.27711	0	2.630	4.250	11.1	6.3	281	 12	10.1
  02-Jan-2015 06:00:00	51.05767	-4.27733	0	2.500	3.860	11.1	5.9	278	 14	10.1
  02-Jan-2015 06:30:00	51.05768	-4.27733	0	2.890	3.830	12.5	6.7	281	  8	10.1
  02-Jan-2015 07:00:00	51.05764	-4.27733	0	2.580	3.710	11.1	6.3	278	 14	10.0
  02-Jan-2015 07:30:00	51.05764	-4.27735	0	2.810	3.630	11.8	6.5	280	  9	9.9
  02-Jan-2015 08:00:00	51.05763	-4.27729	0	2.790	3.940	11.8	6.6	276	 12	9.9
  02-Jan-2015 08:30:00	51.05765	-4.27737	0	2.680	4.250	11.8	6.6	283	 11	9.9
  02-Jan-2015 09:00:00	51.05765	-4.27694	0	2.780	4.490	11.1	6.9	280	 10	9.9
  02-Jan-2015 09:30:00	51.05765	-4.27694	0	2.520	3.980	11.1	6.6	280	 11	9.9
