Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  01-Jan-2016 00:00:00	51.05785	-4.27774	0	2.710	9999.000	15.4	8.7	286	  6	10.8
  01-Jan-2016 00:30:00	51.05785	-4.27774	0	2.570	3.740	11.8	8.9	280	 12	11.2
  01-Jan-2016 01:00:00	51.05778	-4.27765	0	2.530	4.510	12.5	9.1	281	  9	10.9
  01-Jan-2016 01:30:00	51.05770	-4.27750	0	2.540	4.490	13.3	9.3	283	 11	10.8
  01-Jan-2016 02:00:00	51.05774	-4.27757	0	2.610	3.940	12.5	9.3	278	 14	10.6
  01-Jan-2016 02:30:00	51.05804	-4.27772	0	2.770	4.020	13.3	10.0	280	 11	10.7
  01-Jan-2016 03:00:00	51.05804	-4.27763	0	2.670	4.200	14.3	9.5	281	 14	10.7
  01-Jan-2016 03:30:00	51.05816	-4.27752	0	3.190	4.300	13.3	10.0	277	 11	10.7
  01-Jan-2016 04:00:00	51.05827	-4.27759	0	3.400	4.740	13.3	10.0	281	  9	10.8
  01-Jan-2016 04:30:00	51.05840	-4.27746	0	3.130	4.040	11.8	10.0	276	  9	10.7
  01-Jan-2016 05:00:00	51.05847	-4.27720	0	2.830	3.800	10.5	9.5	277	  7	10.8
  01-Jan-2016 05:30:00	51.05852	-4.27714	0	3.190	4.670	12.5	10.3	274	  7	10.8
  01-Jan-2016 06:00:00	51.05849	-4.27714	0	2.910	4.020	14.3	10.5	277	  9	10.8
  01-Jan-2016 06:30:00	51.05849	-4.27701	0	2.540	3.830	13.3	10.0	276	  8	10.8
  01-Jan-2016 07:00:00	51.05846	-4.27686	0	2.270	3.490	14.3	9.5	281	  9	10.8
  01-Jan-2016 07:30:00	51.05847	-4.27688	0	2.060	2.440	11.8	8.7	278	  8	10.8
  01-Jan-2016 08:00:00	51.05847	-4.27686	0	1.970	3.060	14.3	8.7	281	  9	10.7
  01-Jan-2016 08:30:00	51.05847	-4.27699	0	1.950	2.800	14.3	9.8	276	 10	10.6
  01-Jan-2016 09:00:00	51.05852	-4.27752	0	1.670	2.450	14.3	9.5	276	 17	10.6
  01-Jan-2016 09:30:00	51.05847	-4.27739	0	1.700	2.550	15.4	8.3	284	 13	10.7
  01-Jan-2016 10:00:00	51.05841	-4.27750	0	1.830	2.660	14.3	7.7	283	 11	10.8
  01-Jan-2016 10:30:00	51.05833	-4.27774	0	1.840	3.160	14.3	7.8	284	 14	10.8
  01-Jan-2016 11:00:00	51.05824	-4.27780	0	1.680	2.660	14.3	7.3	281	 14	10.8
  01-Jan-2016 11:30:00	51.05813	-4.27782	0	1.670	2.530	14.3	6.9	286	 19	10.9
  01-Jan-2016 12:00:00	51.05797	-4.27778	0	1.600	2.130	14.3	6.1	284	 20	11.0
