Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  01-Jan-2017 00:00:00	51.05768	-4.27707	0	1.270	9999.000	11.1	6.1	280	 11	10.1
  01-Jan-2017 00:30:00	51.05768	-4.27707	0	1.260	2.030	11.8	6.0	280	  9	10.1
  01-Jan-2017 01:00:00	51.05784	-4.27662	0	1.410	2.090	11.1	6.2	278	  8	10.1
  01-Jan-2017 01:30:00	51.05821	-4.27645	0	1.430	2.530	11.8	5.7	278	 11	10.2
  01-Jan-2017 02:00:00	51.05828	-4.27649	0	1.610	2.580	10.5	5.6	277	  9	10.1
  01-Jan-2017 02:30:00	51.05828	-4.27656	0	1.670	2.130	11.1	5.8	273	 14	10.2
  01-Jan-2017 03:00:00	51.05831	-4.27656	0	1.640	2.330	10.5	5.7	276	 10	10.2
  01-Jan-2017 03:30:00	51.05832	-4.27656	0	1.590	2.500	9.1	5.3	277	 10	10.3
  01-Jan-2017 04:00:00	51.05835	-4.27658	0	1.490	2.130	11.8	5.3	274	 14	10.3
  01-Jan-2017 04:30:00	51.05836	-4.27656	0	1.520	2.540	10.0	4.8	277	 12	10.3
  01-Jan-2017 05:00:00	51.05834	-4.27654	0	1.390	1.740	11.8	4.6	276	 12	10.3
  01-Jan-2017 05:30:00	51.05836	-4.27658	0	1.420	2.050	10.5	4.4	278	 14	10.3
  01-Jan-2017 06:00:00	51.05835	-4.27656	0	1.370	1.870	11.8	4.7	280	 18	10.3
  01-Jan-2017 06:30:00	51.05836	-4.27658	0	1.310	2.000	11.8	4.6	280	 22	10.3
  01-Jan-2017 07:00:00	51.05834	-4.27660	0	1.320	1.890	6.3	4.7	288	 18	10.3
  01-Jan-2017 07:30:00	51.05832	-4.27662	0	1.410	2.450	6.3	5.0	294	 18	10.3
  01-Jan-2017 08:00:00	51.05797	-4.27664	0	1.320	1.840	5.9	4.8	293	 20	10.3
  01-Jan-2017 08:30:00	51.05766	-4.27722	0	1.350	2.000	6.7	4.8	293	 16	10.3
  01-Jan-2017 09:00:00	51.05769	-4.27744	0	1.290	2.400	7.1	4.7	290	 15	10.3
