Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  01-Jan-2018 00:00:00	51.05834	-4.27654	0	4.280	9999.000	13.3	8.0	278	 13	9.6
  01-Jan-2018 00:30:00	51.05834	-4.27654	0	4.170	7.180	12.5	7.8	278	 12	9.6
  01-Jan-2018 01:00:00	51.05838	-4.27656	0	3.940	5.610	13.3	7.7	281	 16	9.6
  01-Jan-2018 01:30:00	51.05843	-4.27675	0	3.970	5.170	13.3	7.7	280	 13	9.6
  01-Jan-2018 02:00:00	51.05843	-4.27673	0	3.320	5.160	13.3	6.8	280	 17	9.6
  01-Jan-2018 02:30:00	51.05841	-4.27664	0	3.580	5.580	14.3	7.0	284	 16	9.7
  01-Jan-2018 03:00:00	51.05835	-4.27658	0	3.360	5.200	14.3	7.0	283	 14	9.7
  01-Jan-2018 03:30:00	51.05835	-4.27656	0	3.450	4.720	14.3	7.1	281	 17	9.7
  01-Jan-2018 04:00:00	51.05833	-4.27654	0	3.250	4.850	14.3	7.0	281	 15	9.7
  01-Jan-2018 04:30:00	51.05831	-4.27656	0	3.230	5.100	14.3	7.1	283	 16	9.7
  01-Jan-2018 05:00:00	51.05834	-4.27664	0	3.580	4.420	13.3	7.8	284	 11	9.7
  01-Jan-2018 05:30:00	51.05839	-4.27675	0	3.170	4.060	14.3	7.7	286	 11	9.7
  01-Jan-2018 06:00:00	51.05842	-4.27709	0	2.950	4.230	14.3	7.8	284	 14	9.6
  01-Jan-2018 06:30:00	51.05811	-4.27769	0	2.990	4.560	14.3	8.3	287	 15	9.4
  01-Jan-2018 07:00:00	51.05827	-4.27765	0	3.240	4.600	15.4	9.3	288	 11	9.4
  01-Jan-2018 07:30:00	51.05813	-4.27767	0	2.970	4.420	14.3	9.3	277	 11	9.4
  01-Jan-2018 08:00:00	51.05817	-4.27776	0	3.100	4.230	16.7	9.3	286	 14	9.4
  01-Jan-2018 08:30:00	51.05787	-4.27774	0	2.980	4.100	16.7	9.1	291	 11	9.3
  01-Jan-2018 09:00:00	51.05788	-4.27772	0	2.940	4.590	16.7	9.8	287	 15	9.3
  01-Jan-2018 09:30:00	51.05785	-4.27769	0	3.300	5.430	16.7	9.8	284	 11	9.4
  01-Jan-2018 10:00:00	51.05782	-4.27754	0	3.560	6.060	13.3	9.1	283	  8	9.3
  01-Jan-2018 10:30:00	51.05766	-4.27729	0	3.930	6.680	15.4	9.3	283	 12	9.3
  01-Jan-2018 11:00:00	51.05765	-4.27707	0	4.210	9999.000	15.4	8.7	287	 21	9.3
  01-Jan-2018 11:30:00	51.05772	-4.27669	0	4.550	6.700	14.3	8.9	283	 13	9.4
  01-Jan-2018 12:00:00	51.05766	-4.27675	0	4.050	6.020	14.3	8.5	284	 15	9.4
  01-Jan-2018 12:30:00	51.05775	-4.27660	0	4.530	6.730	13.3	8.7	284	 13	9.4
  01-Jan-2018 13:00:00	51.05777	-4.27654	0	4.580	6.910	15.4	8.3	288	 15	9.4
  01-Jan-2018 13:30:00	51.05802	-4.27647	0	4.940	7.250	15.4	8.2	278	 16	9.5
  01-Jan-2018 14:00:00	51.05817	-4.27632	0	4.640	6.650	15.4	8.0	281	 15	9.6
  01-Jan-2018 14:30:00	51.05825	-4.27645	0	3.980	9999.000	15.4	7.1	286	 18	9.6
  01-Jan-2018 15:00:00	51.05828	-4.27647	0	3.850	9999.000	14.3	7.0	283	 19	9.6
  01-Jan-2018 15:30:00	51.05827	-4.27647	0	3.970	5.650	14.3	7.0	281	 17	9.7
  01-Jan-2018 16:00:00	51.05827	-4.27651	0	3.470	5.530	15.4	6.7	280	 11	9.7
  01-Jan-2018 16:30:00	51.05833	-4.27656	0	3.660	9999.000	15.4	6.9	287	 17	9.7
