Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  01-Jan-2010 00:00:00	51.05787	-4.27703	0	0.490	0.690	10.5	3.9	291	 17	8.4
  01-Jan-2010 00:30:00	51.05787	-4.27703	0	0.500	0.810	11.8	4.2	293	 14	8.5
  01-Jan-2010 01:00:00	51.05787	-4.27703	0	0.530	0.740	12.5	4.0	281	 17	8.6
  01-Jan-2010 01:30:00	51.05785	-4.27705	0	0.580	0.830	4.2	3.7	352	 18	8.6
  01-Jan-2010 02:00:00	51.05806	-4.27716	0	0.600	0.950	4.5	3.5	345	 18	8.6
  01-Jan-2010 02:30:00	51.05841	-4.27694	0	0.630	0.920	4.3	3.7	342	 18	8.6
  01-Jan-2010 03:00:00	51.05853	-4.27626	0	0.640	0.960	5.3	4.0	353	 19	8.7
  01-Jan-2010 03:30:00	51.05852	-4.27598	0	0.630	1.040	5.0	4.0	346	 25	8.6
  01-Jan-2010 04:00:00	51.05848	-4.27589	0	0.610	1.140	5.0	3.9	347	 24	8.6
  01-Jan-2010 04:30:00	51.05844	-4.27587	0	0.600	0.870	4.8	3.9	343	 21	8.5
  01-Jan-2010 05:00:00	51.05849	-4.27591	0	0.620	1.080	5.0	3.9	350	 20	8.5
  01-Jan-2010 05:30:00	51.05844	-4.27591	0	0.690	1.210	5.3	3.8	352	 22	8.5
  01-Jan-2010 06:00:00	51.05849	-4.27596	0	0.700	1.130	4.5	3.5	349	 23	8.4
  01-Jan-2010 06:30:00	51.05831	-4.27617	0	0.660	0.990	4.8	3.5	350	 24	8.4
  01-Jan-2010 07:00:00	51.05782	-4.27686	0	0.660	0.940	4.8	3.6	345	 19	8.4
  01-Jan-2010 07:30:00	51.05789	-4.27696	0	0.650	0.710	4.3	3.6	352	 18	8.5
  01-Jan-2010 08:00:00	51.05789	-4.27701	0	0.560	0.680	4.2	3.5	349	 19	8.5
  01-Jan-2010 08:30:00	51.05787	-4.27696	0	0.480	0.660	4.2	3.5	346	 22	8.6
  01-Jan-2010 09:00:00	51.05789	-4.27703	0	0.440	0.560	15.4	3.5	281	 34	8.6
  01-Jan-2010 09:30:00	51.05780	-4.27694	0	0.410	0.640	12.5	3.7	269	 19	8.6
  01-Jan-2010 10:00:00	51.05785	-4.27694	0	0.350	0.510	11.8	3.7	277	 18	8.6
  01-Jan-2010 10:30:00	51.05781	-4.27684	0	0.340	0.550	11.1	3.6	281	 16	8.3
  01-Jan-2010 11:00:00	51.05774	-4.27679	0	0.340	0.600	13.3	4.7	286	 11	8.3
  01-Jan-2010 11:30:00	51.05780	-4.27690	0	0.360	0.480	13.3	4.3	283	 12	8.3
  01-Jan-2010 12:00:00	51.05782	-4.27699	0	0.390	0.700	13.3	4.6	287	 14	8.3
  01-Jan-2010 12:30:00	51.05774	-4.27699	0	0.420	0.690	11.8	4.3	278	 11	8.3
  01-Jan-2010 13:00:00	51.05774	-4.27675	0	0.420	0.640	12.5	4.3	278	 11	8.4
  01-Jan-2010 13:30:00	51.05780	-4.27660	0	0.450	0.620	12.5	4.3	281	 10	8.4
